L1,L2,L3,L4,L5,L6,totalComb,max2Opak,max3Opak,max4Opak,max5Opak,2/total,3/total,4/total,5/total
2,2,2,2,2,2,64,2,4,8,32,3.125%,6.25%,12.5%,50.0%
2,2,2,2,2,3,96,2,4,8,32,2.083%,4.167%,8.333%,33.333%
2,2,2,2,3,2,96,2,4,8,32,2.083%,4.167%,8.333%,33.333%
2,2,2,2,3,3,144,2,6,10,40,1.389%,4.167%,6.944%,27.778%
2,2,2,3,2,2,96,2,4,8,32,2.083%,4.167%,8.333%,33.333%
2,2,2,3,2,3,144,2,4,10,40,1.389%,2.778%,6.944%,27.778%
2,2,2,3,3,2,144,2,4,10,40,1.389%,2.778%,6.944%,27.778%
2,2,2,3,3,3,216,2,6,14,56,0.926%,2.778%,6.481%,25.926%
2,2,3,2,2,2,96,2,4,8,32,2.083%,4.167%,8.333%,33.333%
2,2,3,2,2,3,144,2,4,8,40,1.389%,2.778%,5.556%,27.778%
2,2,3,2,3,2,144,2,4,10,40,1.389%,2.778%,6.944%,27.778%
2,2,3,2,3,3,216,2,6,12,56,0.926%,2.778%,5.556%,25.926%
2,2,3,3,2,2,144,2,6,10,40,1.389%,4.167%,6.944%,27.778%
2,2,3,3,2,3,216,2,6,14,56,0.926%,2.778%,6.481%,25.926%
2,2,3,3,3,2,216,3,6,13,56,1.389%,2.778%,6.019%,25.926%
2,2,3,3,3,3,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
2,3,2,2,2,2,96,2,4,8,32,2.083%,4.167%,8.333%,33.333%
2,3,2,2,2,3,144,2,4,8,40,1.389%,2.778%,5.556%,27.778%
2,3,2,2,3,2,144,2,4,10,40,1.389%,2.778%,6.944%,27.778%
2,3,2,2,3,3,216,2,6,12,56,0.926%,2.778%,5.556%,25.926%
2,3,2,3,2,2,144,2,6,10,40,1.389%,4.167%,6.944%,27.778%
2,3,2,3,2,3,216,2,6,13,56,0.926%,2.778%,6.019%,25.926%
2,3,2,3,3,2,216,3,6,14,56,1.389%,2.778%,6.481%,25.926%
2,3,2,3,3,3,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
2,3,3,2,2,2,144,2,6,10,40,1.389%,4.167%,6.944%,27.778%
2,3,3,2,2,3,216,2,6,13,56,0.926%,2.778%,6.019%,25.926%
2,3,3,2,3,2,216,3,6,14,56,1.389%,2.778%,6.481%,25.926%
2,3,3,2,3,3,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
2,3,3,3,2,2,216,3,6,18,56,1.389%,2.778%,8.333%,25.926%
2,3,3,3,2,3,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
2,3,3,3,3,2,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
2,3,3,3,3,3,486,3,12,22,122,0.617%,2.469%,4.527%,25.103%
3,2,2,2,2,2,96,2,4,8,32,2.083%,4.167%,8.333%,33.333%
3,2,2,2,2,3,144,2,4,8,40,1.389%,2.778%,5.556%,27.778%
3,2,2,2,3,2,144,2,4,10,40,1.389%,2.778%,6.944%,27.778%
3,2,2,2,3,3,216,2,6,13,56,0.926%,2.778%,6.019%,25.926%
3,2,2,3,2,2,144,2,6,10,40,1.389%,4.167%,6.944%,27.778%
3,2,2,3,2,3,216,2,6,13,56,0.926%,2.778%,6.019%,25.926%
3,2,2,3,3,2,216,3,6,13,56,1.389%,2.778%,6.019%,25.926%
3,2,2,3,3,3,324,3,8,17,82,0.926%,2.469%,5.247%,25.309%
3,2,3,2,2,2,144,2,6,10,40,1.389%,4.167%,6.944%,27.778%
3,2,3,2,2,3,216,2,6,13,56,0.926%,2.778%,6.019%,25.926%
3,2,3,2,3,2,216,3,6,14,56,1.389%,2.778%,6.481%,25.926%
3,2,3,2,3,3,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
3,2,3,3,2,2,216,3,6,18,56,1.389%,2.778%,8.333%,25.926%
3,2,3,3,2,3,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
3,2,3,3,3,2,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
3,2,3,3,3,3,486,3,12,22,122,0.617%,2.469%,4.527%,25.103%
3,3,2,2,2,2,144,2,6,10,40,1.389%,4.167%,6.944%,27.778%
3,3,2,2,2,3,216,2,6,13,56,0.926%,2.778%,6.019%,25.926%
3,3,2,2,3,2,216,3,6,14,56,1.389%,2.778%,6.481%,25.926%
3,3,2,2,3,3,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
3,3,2,3,2,2,216,3,6,18,56,1.389%,2.778%,8.333%,25.926%
3,3,2,3,2,3,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
3,3,2,3,3,2,324,3,8,18,82,0.926%,2.469%,5.556%,25.309%
3,3,2,3,3,3,486,3,12,21,122,0.617%,2.469%,4.321%,25.103%
3,3,3,2,2,2,216,3,5,18,56,1.389%,2.315%,8.333%,25.926%
3,3,3,2,2,3,324,3,7,18,82,0.926%,2.16%,5.556%,25.309%
3,3,3,2,3,2,324,3,7,18,82,0.926%,2.16%,5.556%,25.309%
3,3,3,2,3,3,486,3,10,22,122,0.617%,2.058%,4.527%,25.103%
3,3,3,3,2,2,324,3,5,17,82,0.926%,1.543%,5.247%,25.309%
3,3,3,3,2,3,486,3,7,18,122,0.617%,1.44%,3.704%,25.103%
3,3,3,3,3,2,486,3,7,18,122,0.617%,1.44%,3.704%,25.103%
3,3,3,3,3,3,729,3,10,24,183,0.412%,1.372%,3.292%,25.103%
